Id,Sales
1,4053.497
2,6903.019
3,8899.702
4,6993.6807
5,6805.5693
6,5556.893
7,7055.045
8,7402.5415
9,4991.346
10,5300.877
11,6350.3154
12,7780.0747
13,6739.6543
14,8158.366
15,5637.955
16,4691.895
17,5363.8496
18,9049.141
19,9684.449
20,8878.049
21,7340.0522
22,4331.9604
23,5468.2217
24,4120.505
25,7340.1084
26,10252.804
27,8934.215
28,5389.4253
29,4733.3545
30,4224.5776
31,5665.9023
32,9695.975
33,6250.2676
34,5090.1025
35,5155.2217
36,7241.702
37,3487.4548
38,7213.4795
39,4364.312
40,6655.547
41,6442.335
42,5287.752
43,7283.952
44,6675.3066
45,4706.2476
46,6329.7065
47,6846.17
48,11216.449
49,5703.8867
50,7938.5615
51,6472.75
52,8472.579
53,6413.9165
54,8779.569
55,4531.415
56,4584.2686
57,5522.0205
58,5654.3105
59,8621.908
60,7469.5083
61,5400.299
62,7328.293
63,6305.825
64,9600.805
65,3561.1843
66,11832.827
67,4611.887
68,5685.4727
69,7561.8657
70,4882.1626
71,5836.746
72,6010.9805
73,7068.5703
74,5312.063
75,5578.098
76,7363.796
77,7198.99
78,6469.9414
79,4955.368
80,7041.1226
81,11357.783
82,6135.774
83,4397.1943
84,6580.117
85,5741.1177
86,5596.2656
87,7249.173
88,3684.7622
89,7565.0186
90,5643.217
91,7127.484
92,6639.8477
93,3902.8708
94,5320.161
95,5034.875
96,7821.719
97,7702.584
98,4648.8384
99,4764.3066
100,7086.9727
101,5695.286
102,5757.6904
103,6257.6826
104,6221.0522
105,7290.4785
106,5439.6562
107,4072.4336
108,6297.609
109,7666.1646
110,7655.818
111,7966.7554
112,7492.1484
113,5361.8496
114,8297.559
115,5351.4004
116,6785.127
117,8821.942
118,6094.856
119,9484.362
120,7315.004
121,7156.0938
122,5786.849
123,6616.21
124,7491.434
125,6268.34
126,3726.6228
127,5262.6484
128,7582.8833
129,5622.88
130,4158.9946
131,7903.129
132,6246.7334
133,5602.584
134,5649.071
135,5056.4507
136,6923.48
137,6934.0474
138,6588.4883
139,5238.3584
140,4845.2617
141,6067.9697
142,3795.253
143,5930.425
144,5209.746
145,7962.3496
146,6878.76
147,5882.7397
148,11273.108
149,4855.5327
150,4924.5796
151,9816.616
152,6651.4346
153,8126.6333
154,6886.0723
155,5360.581
156,6164.7773
157,5360.842
158,7527.059
159,10719.008
160,5935.937
161,3221.462
162,4367.6562
163,8102.787
164,8327.162
165,6036.744
166,6414.7793
167,4688.124
168,5219.152
169,3053.3425
170,4629.0273
171,5901.027
172,7079.3994
173,6644.4727
174,6610.3687
175,7515.079
176,8764.643
177,7144.0703
178,4838.9155
179,9134.416
180,9743.16
181,5782.6226
182,6921.361
